Date,Latitude,Longitude,Time1,Time2,Time3
24/06/2021,63.23781,103.79048,03:18,05:00,06:42
24/06/2021,63.40525,104.62379,03:18,05:00,06:42
24/06/2021,62.99408,105.25381,03:18,05:00,06:42
24/06/2021,62.13507,106.81939,03:18,05:00,06:42
25/06/2021,66.34729,107.05208,03:00,04:42,
06/07/2021,60.93118,106.79861,04:30,06:12,
06/07/2021,60.66125,107.33013,04:30,06:12,
25/07/2021,62.10353,106.88496,03:36,05:18,07:00
25/07/2021,60.69607,107.30059,03:36,05:18,07:00
25/07/2021,60.87334,106.77177,03:36,05:18,07:00
28/08/2021,60.08688,106.5208,04:42,06:24,
28/08/2021,60.57447,107.4008,04:42,06:24,
25/06/2021,65.50423,112.01317,03:00,04:42,06:24
25/06/2021,65.9723,112.86111,03:00,04:42,06:24
25/06/2021,64.34022,114.18144,03:00,04:42,06:18
25/06/2021,63.16168,113.29549,03:00,04:42,06:18
25/06/2021,63.41047,111.28379,03:00,04:42,06:18
25/06/2021,63.56297,111.31522,03:00,04:42,06:18
02/07/2021,62.95126,116.80273,04:06,05:48,
02/07/2021,63.51228,117.35522,04:06,05:48,
02/07/2021,61.93475,118.52467,04:06,05:48,
02/07/2021,60.61466,119.05477,02:30,04:06,
02/07/2021,62.27609,119.40894,04:06,05:48,
02/07/2021,61.14598,119.26257,04:06,05:48,
07/07/2021,62.77149,118.04458,04:12,05:54,
07/07/2021,62.94434,119.12653,04:12,05:54,
14/07/2021,61.91564,118.72953,03:42,05:24,
14/07/2021,60.61643,118.4534,03:42,05:24,
14/07/2021,60.53637,118.08322,03:42,05:24,
14/07/2021,60.24773,117.76078,03:42,05:24,
16/07/2021,63.43751,112.3875,03:06,04:48,06:30
16/07/2021,63.1958,113.3675,03:06,04:48,06:30
16/07/2021,64.23523,114.13708,03:06,04:48,06:30
16/07/2021,64.62695,114.75887,03:06,04:48,06:30
16/07/2021,65.2303,119.1378,03:06,04:48,
16/07/2021,63.8646,115.4332,04:48,06:30,
16/07/2021,63.5489,115.649,03:06,04:48,
16/07/2021,63.85242,118.3948,03:06,04:48,
16/07/2021,63.64524,117.91928,03:06,04:48,
16/07/2021,63.2711,119.51162,03:06,04:48,
25/07/2021,63.95557,110.83322,05:18,,
25/07/2021,63.35646,111.2519,03:36,05:18,
25/07/2021,62.34166,112.63675,03:36,05:18,
25/07/2021,65.94011,118.63931,03:36,05:18,
25/07/2021,65.2018,119.0328,02:00,03:36,05:18
26/07/2021,63.35605,111.25687,03:18,05:00,
27/07/2021,63.98186,110.85703,03:00,04:42,06:24
27/07/2021,65.84539,118.77279,03:00,04:42,
28/07/2021,65.84539,118.77279,02:48,04:24,06:06
05/06/2021,61.2365,127.30222,02:30,04:12,
11/06/2021,61.28392,127.30041,02:18,04:00,
26/06/2021,61.63814,126.67776,04:18,,
01/07/2021,61.64511,120.05254,02:48,04:24,06:06
01/07/2021,61.52324,120.36912,02:48,04:24,
01/07/2021,61.82289,120.38978,02:48,04:24,
01/07/2021,61.58831,121.08283,02:48,04:24,
02/07/2021,61.68972,120.08723,02:30,04:06,05:48
02/07/2021,61.53554,120.34734,02:30,04:06,05:48
02/07/2021,61.82241,120.36931,02:30,04:06,05:48
02/07/2021,62.0351,120.6635,02:30,04:06,05:48
02/07/2021,63.56154,122.12125,02:30,04:06,05:48
02/07/2021,61.31102,123.59838,02:30,04:06,05:48
02/07/2021,61.41386,124.78233,02:30,04:06,05:48
02/07/2021,61.55558,125.51137,02:30,04:06,
02/07/2021,62.1236,125.20211,02:30,04:06,
02/07/2021,61.795,126.26853,02:30,04:06,
02/07/2021,61.62986,126.69582,02:30,04:06,
02/07/2021,61.61543,126.97334,02:30,04:06,
02/07/2021,61.03992,127.78297,02:24,04:06,
02/07/2021,60.90562,128.79688,02:24,04:06,
02/07/2021,61.53716,128.22514,02:24,04:06,
02/07/2021,62.1713,127.692,02:30,04:06,
03/07/2021,61.58312,121.10922,03:48,05:30,
03/07/2021,61.66366,121.45157,03:48,05:30,
03/07/2021,61.66182,121.4185,03:48,05:30,
03/07/2021,61.43048,122.92312,02:06,03:48,05:30
03/07/2021,61.30779,123.61189,03:48,05:30,
03/07/2021,62.4384,124.0071,02:06,03:48,05:30
03/07/2021,62.27859,124.80784,02:06,03:48,05:30
03/07/2021,61.41492,124.75895,02:06,03:48,05:30
03/07/2021,62.1435,125.138,03:48,05:30,
03/07/2021,61.10962,125.81531,02:06,03:48,05:30
07/07/2021,60.18629,120.21941,04:12,05:54,
07/07/2021,60.76324,120.31758,04:12,05:54,
07/07/2021,61.898,120.3528,04:12,05:54,
08/07/2021,61.43567,123.00387,02:18,03:54,05:36
08/07/2021,61.33337,123.67136,02:18,03:54,05:36
16/07/2021,63.135,120.06371,03:06,04:48,
16/07/2021,62.5429,121.66184,03:06,04:48,
16/07/2021,61.6873,120.799,03:06,04:48,
18/07/2021,65.4153,120.93906,02:30,04:06,05:48
18/07/2021,64.918,121.9555,02:30,04:06,05:48
18/07/2021,65.68095,123.97913,02:30,04:06,05:48
18/07/2021,65.67375,124.52946,02:30,04:06,05:48
21/07/2021,65.42599,120.83904,03:12,04:54,
25/07/2021,65.44413,120.89032,02:00,03:36,05:18
25/07/2021,65.68956,124.03329,02:00,03:36,05:18
25/07/2021,65.63345,124.51021,02:00,03:36,05:18
27/07/2021,65.27588,120.97631,03:00,04:42,
27/07/2021,64.83615,121.91732,03:00,04:42,
27/07/2021,63.83091,121.00837,03:00,04:42,
27/07/2021,66.58594,122.6814,03:00,04:42,
27/07/2021,65.71189,123.91414,01:18,03:00,04:42
27/07/2021,65.52152,124.69539,01:18,03:00,04:42
27/07/2021,64.65507,126.0686,01:18,03:00,04:42
28/07/2021,64.8257,121.90887,02:48,04:24,
28/07/2021,66.56818,122.63346,02:48,04:24,
28/07/2021,62.27969,123.39694,02:48,04:24,
28/07/2021,62.32877,123.97642,02:48,04:24,
29/07/2021,62.19561,125.14898,02:24,04:06,
29/07/2021,65.64091,125.73448,02:24,04:06,05:48
30/07/2021,65.64465,125.77974,02:06,03:48,05:30
30/07/2021,64.777613,125.83086,02:06,03:48,
30/07/2021,64.61278,126.09869,02:06,03:48,
30/07/2021,62.02754,127.51569,02:06,03:48,05:30
05/08/2021,66.54205,122.61092,01:54,03:36,
05/08/2021,65.10896,126.52424,01:54,03:36,05:18
07/08/2021,61.25484,129.86612,03:00,04:36,
08/08/2021,61.25517,129.83836,02:36,04:18,
08/08/2021,61.16901,127.11691,02:36,04:18,
08/08/2021,61.60873,126.83515,02:36,04:18,
08/06/2021,62.69457,135.66969,03:18,05:00,
26/06/2021,62.50993,134.12805,01:00,02:42,04:18
26/06/2021,62.94639,134.43254,02:42,04:18,
26/06/2021,63.1141,136.16739,01:00,02:42,04:18
26/06/2021,60.87183,134.94374,02:42,04:18,
29/06/2021,60.6035,133.17632,03:24,05:06,
29/06/2021,60.86629,134.88884,01:42,03:24,05:06
29/06/2021,60.8439,135.4447,01:42,03:24,05:06
29/06/2021,61.41348,135.95953,01:42,03:24,
30/06/2021,60.61013,133.23979,01:24,03:06,04:42
01/07/2021,60.6921,133.18456,02:48,04:24,
31/07/2021,62.37954,134.5527,03:30,05:12,
02/08/2021,62.4489,134.0313,02:48,04:30,
07/08/2021,65.79655,133.44737,01:18,03:00,04:36
08/08/2021,65.78848,133.40933,01:00,02:42,04:24
08/08/2021,60.86045,134.62549,02:36,04:18,
08/08/2021,61.83945,131.43311,02:36,04:18,
08/08/2021,61.36398,134.95903,02:36,04:18,
09/08/2021,61.85696,131.40558,02:18,04:00,
09/08/2021,60.6351,133.1865,02:18,04:00,
09/08/2021,60.86648,134.56702,02:18,04:00,
09/08/2021,60.64563,135.44128,02:18,04:00,
10/08/2021,61.96467,131.42046,02:00,03:42,05:24
10/08/2021,60.6366,133.1212,02:00,03:42,
10/08/2021,60.9075,134.54762,02:00,03:42,
